
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-15 02:51:14 / .................................................................................. ~ 503.90ms
  2026-05-15 02:51:25 / .................................................................................... ~ 1.39ms
  2026-05-15 02:51:25 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.73ms
  2026-05-15 02:51:25 /themes/default/fonts/lab/lab.css .................................................... ~ 3.67ms
  2026-05-15 02:51:25 /themes/default/fonts/typography/public/public.css ................................... ~ 7.69ms
  2026-05-15 02:51:25 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 9.94ms
  2026-05-15 02:51:25 /themes/default/css/custom.css ....................................................... ~ 8.24ms
  2026-05-15 02:51:25 /build/assets/app-kLbq6jaV.css ...................................................... ~ 10.42ms
  2026-05-15 02:51:25 /build/assets/app-CpvByPl6.css ....................................................... ~ 8.54ms
  2026-05-15 02:51:25 /themes/default/js/drawer.js ......................................................... ~ 6.28ms
  2026-05-15 02:51:25 /themes/default/js/modal.js .......................................................... ~ 6.44ms
  2026-05-15 02:51:25 /themes/default/js/customScript.js ................................................... ~ 9.20ms
  2026-05-15 02:51:25 /themes/default/js/tabs.js ........................................................... ~ 7.97ms
  2026-05-15 02:51:25 /themes/default/js/dropdown.js ...................................................... ~ 10.79ms
  2026-05-15 02:51:25 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 0.25ms
  2026-05-15 02:51:25 /build/assets/app-BNGs7IB-.js ....................................................... ~ 22.11ms
  2026-05-15 02:51:25 /images/theme/theme-logo.png ......................................................... ~ 3.55ms
  2026-05-15 02:51:25 /images/theme/theme-footer-logo.png .................................................. ~ 0.19ms
  2026-05-15 02:51:25 /build/assets/ItemComponent-C5fbfu7N.css ............................................. ~ 0.26ms
  2026-05-15 02:51:25 /build/assets/HomeComponent-wZ1ohavz.js .............................................. ~ 1.91ms
  2026-05-15 02:51:25 /build/assets/CategoryComponent-Dv3ROI8j.js .......................................... ~ 3.72ms
  2026-05-15 02:51:25 /build/assets/swiper-vue-0PfWYbtH.js ................................................. ~ 5.25ms
  2026-05-15 02:51:25 /build/assets/itemDesignEnum-CKbsMq1M.js ............................................. ~ 7.86ms
  2026-05-15 02:51:25 /build/assets/ItemComponent-DE_Fe8ET.js .............................................. ~ 9.70ms
  2026-05-15 02:51:25 /build/assets/OfferComponent-D9_nYZ7m.js ............................................. ~ 9.96ms
  2026-05-15 02:51:25 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 0.16ms
  2026-05-15 02:51:25 /themes/default/fonts/lab/lab.woff2?1740891535263 .................................... ~ 1.33ms
  2026-05-15 02:51:25 /themes/default/fonts/fontawesome/fa-regular-400.woff2 ............................... ~ 2.84ms
  2026-05-15 02:51:25 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 4.81ms
  2026-05-15 02:51:25 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 6.04ms
  2026-05-15 02:51:25 /storage/34/slide-0.jpg .............................................................. ~ 0.31ms
  2026-05-15 02:51:26 /api/frontend/setting ................................................................ ~ 0.84ms
  2026-05-15 02:51:27 /api/frontend/item-category ........................................................ ~ 502.76ms
  2026-05-15 02:51:27 /storage/31/kahumbo-logo-(1).png ................................................... ~ 505.32ms
  2026-05-15 02:51:29 /themes/default/fonts/fontawesome/fa-brands-400.woff2 ................................ ~ 0.75ms
  2026-05-15 02:51:29 /themes/default/fonts/typography/rubik/Rubik-Bold.ttf ................................ ~ 0.15ms
  2026-05-15 02:51:32 /firebase-messaging-sw.js ............................................................ ~ 3.06ms
  2026-05-15 02:51:37 /api/frontend/setting ................................................................ ~ 0.76ms
  2026-05-15 02:51:52 /api/frontend/setting .............................................................. ~ 503.54ms
  2026-05-15 02:55:56 /api/frontend/item-category/show/iced-tea .......................................... ~ 500.82ms
  2026-05-15 02:55:56 /api/frontend/item-category ........................................................ ~ 503.59ms
  2026-05-15 02:56:05 /api/frontend/item-category .......................................................... ~ 0.83ms
  2026-05-15 02:56:05 /api/frontend/item-category/show/iced-tea .......................................... ~ 501.22ms
  2026-05-15 03:01:31 /home ................................................................................ ~ 0.84ms
  2026-05-15 03:01:31 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 4.75ms
  2026-05-15 03:01:31 /themes/default/fonts/lab/lab.css .................................................... ~ 1.90ms
  2026-05-15 03:01:31 /themes/default/fonts/typography/public/public.css ................................... ~ 3.92ms
  2026-05-15 03:01:31 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 5.57ms
  2026-05-15 03:01:31 /themes/default/css/custom.css ....................................................... ~ 5.48ms
  2026-05-15 03:01:31 /build/assets/app-kLbq6jaV.css ....................................................... ~ 7.73ms
  2026-05-15 03:01:31 /build/assets/app-CpvByPl6.css ....................................................... ~ 7.93ms
  2026-05-15 03:01:31 /themes/default/js/drawer.js ......................................................... ~ 5.03ms
  2026-05-15 03:01:31 /themes/default/js/modal.js .......................................................... ~ 0.17ms
  2026-05-15 03:01:31 /themes/default/js/customScript.js ................................................... ~ 3.15ms
  2026-05-15 03:01:31 /themes/default/js/tabs.js ........................................................... ~ 0.16ms
  2026-05-15 03:01:31 /themes/default/js/dropdown.js ....................................................... ~ 1.92ms
  2026-05-15 03:01:31 /build/assets/app-BNGs7IB-.js ....................................................... ~ 19.99ms
  2026-05-15 03:01:31 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 0.14ms
  2026-05-15 03:01:31 /images/theme/theme-logo.png ......................................................... ~ 0.92ms
  2026-05-15 03:01:31 /images/theme/theme-footer-logo.png .................................................. ~ 2.79ms
  2026-05-15 03:01:31 /build/assets/ItemComponent-C5fbfu7N.css ............................................. ~ 0.20ms
  2026-05-15 03:01:31 /build/assets/HomeComponent-wZ1ohavz.js .............................................. ~ 1.50ms
  2026-05-15 03:01:31 /build/assets/CategoryComponent-Dv3ROI8j.js .......................................... ~ 3.61ms
  2026-05-15 03:01:31 /build/assets/swiper-vue-0PfWYbtH.js ................................................. ~ 4.89ms
  2026-05-15 03:01:31 /build/assets/itemDesignEnum-CKbsMq1M.js ............................................. ~ 6.41ms
  2026-05-15 03:01:31 /build/assets/ItemComponent-DE_Fe8ET.js .............................................. ~ 7.81ms
  2026-05-15 03:01:31 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 0.15ms
  2026-05-15 03:01:31 /build/assets/OfferComponent-D9_nYZ7m.js ............................................. ~ 1.08ms
  2026-05-15 03:01:31 /themes/default/fonts/lab/lab.woff2?1740891535263 .................................... ~ 2.49ms
  2026-05-15 03:01:31 /themes/default/fonts/fontawesome/fa-regular-400.woff2 ............................... ~ 0.13ms
  2026-05-15 03:01:31 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 1.31ms
  2026-05-15 03:01:31 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 0.16ms
  2026-05-15 03:01:31 /storage/34/slide-0.jpg .............................................................. ~ 0.12ms
  2026-05-15 03:01:31 /storage/31/kahumbo-logo-(1).png ..................................................... ~ 0.12ms
  2026-05-15 03:01:35 /themes/default/fonts/typography/rubik/Rubik-Bold.ttf ................................ ~ 3.03ms
  2026-05-15 03:01:35 /themes/default/fonts/fontawesome/fa-brands-400.woff2 ................................ ~ 0.13ms
  2026-05-15 03:01:38 /firebase-messaging-sw.js ............................................................ ~ 0.83ms
  2026-05-15 03:01:56 /home .............................................................................. ~ 507.99ms
  2026-05-15 03:01:56 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.15ms
  2026-05-15 03:01:56 /themes/default/fonts/lab/lab.css .................................................... ~ 1.21ms
  2026-05-15 03:01:56 /themes/default/fonts/typography/public/public.css ................................... ~ 2.72ms
  2026-05-15 03:01:56 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 3.79ms
  2026-05-15 03:01:56 /themes/default/css/custom.css ....................................................... ~ 0.20ms
  2026-05-15 03:01:56 /build/assets/app-kLbq6jaV.css ....................................................... ~ 1.93ms
  2026-05-15 03:01:56 /build/assets/app-CpvByPl6.css ....................................................... ~ 3.51ms
  2026-05-15 03:01:56 /themes/default/js/drawer.js ......................................................... ~ 1.67ms
  2026-05-15 03:01:56 /themes/default/js/modal.js .......................................................... ~ 4.02ms
  2026-05-15 03:01:56 /themes/default/js/customScript.js ................................................... ~ 0.13ms
  2026-05-15 03:01:56 /themes/default/js/tabs.js ........................................................... ~ 0.16ms
  2026-05-15 03:01:56 /themes/default/js/dropdown.js ....................................................... ~ 1.99ms
  2026-05-15 03:01:56 /build/assets/app-BNGs7IB-.js ....................................................... ~ 12.31ms
  2026-05-15 03:01:56 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 1.83ms
  2026-05-15 03:01:56 /images/theme/theme-logo.png ......................................................... ~ 0.13ms
  2026-05-15 03:01:56 /images/theme/theme-footer-logo.png .................................................. ~ 0.13ms
  2026-05-15 03:01:56 /build/assets/HomeComponent-wZ1ohavz.js .............................................. ~ 0.15ms
  2026-05-15 03:01:56 /build/assets/CategoryComponent-Dv3ROI8j.js .......................................... ~ 0.13ms
  2026-05-15 03:01:56 /build/assets/ItemComponent-C5fbfu7N.css ............................................. ~ 0.17ms
  2026-05-15 03:01:56 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 1.50ms
  2026-05-15 03:01:56 /themes/default/fonts/lab/lab.woff2?1740891535263 .................................... ~ 2.51ms
  2026-05-15 03:01:56 /themes/default/fonts/fontawesome/fa-regular-400.woff2 ............................... ~ 3.64ms
  2026-05-15 03:01:56 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 4.69ms
  2026-05-15 03:01:56 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 5.74ms
  2026-05-15 03:01:56 /build/assets/swiper-vue-0PfWYbtH.js ................................................. ~ 0.16ms
  2026-05-15 03:01:56 /build/assets/itemDesignEnum-CKbsMq1M.js ............................................. ~ 1.54ms
  2026-05-15 03:01:56 /build/assets/ItemComponent-DE_Fe8ET.js .............................................. ~ 2.79ms
  2026-05-15 03:01:56 /build/assets/OfferComponent-D9_nYZ7m.js ............................................. ~ 0.13ms
  2026-05-15 03:01:56 /storage/34/slide-0.jpg .............................................................. ~ 0.12ms
  2026-05-15 03:01:57 /themes/default/fonts/fontawesome/fa-brands-400.woff2 ................................ ~ 0.86ms
  2026-05-15 03:01:57 /themes/default/fonts/typography/rubik/Rubik-Bold.ttf ................................ ~ 0.78ms
  2026-05-15 03:01:58 /storage/31/kahumbo-logo-(1).png ..................................................... ~ 0.73ms
  2026-05-15 03:02:00 /firebase-messaging-sw.js ............................................................ ~ 0.78ms
  2026-05-15 03:02:08 /home ................................................................................ ~ 0.95ms
  2026-05-15 03:02:08 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 4.82ms
  2026-05-15 03:02:08 /themes/default/fonts/lab/lab.css .................................................... ~ 1.56ms
  2026-05-15 03:02:08 /themes/default/fonts/typography/public/public.css ................................... ~ 3.28ms
  2026-05-15 03:02:08 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 4.37ms
  2026-05-15 03:02:08 /themes/default/css/custom.css ....................................................... ~ 4.78ms
  2026-05-15 03:02:08 /build/assets/app-kLbq6jaV.css ....................................................... ~ 6.50ms
  2026-05-15 03:02:08 /build/assets/app-CpvByPl6.css ....................................................... ~ 6.38ms
  2026-05-15 03:02:08 /themes/default/js/drawer.js ......................................................... ~ 5.37ms
  2026-05-15 03:02:08 /themes/default/js/modal.js .......................................................... ~ 5.32ms
  2026-05-15 03:02:08 /themes/default/js/customScript.js ................................................... ~ 3.72ms
  2026-05-15 03:02:08 /themes/default/js/tabs.js ........................................................... ~ 1.94ms
  2026-05-15 03:02:08 /themes/default/js/dropdown.js ....................................................... ~ 0.16ms
  2026-05-15 03:02:08 /build/assets/app-BNGs7IB-.js ....................................................... ~ 17.01ms
  2026-05-15 03:02:08 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 0.26ms
  2026-05-15 03:02:08 /images/theme/theme-logo.png ......................................................... ~ 0.14ms
  2026-05-15 03:02:08 /images/theme/theme-footer-logo.png .................................................. ~ 0.16ms
  2026-05-15 03:02:08 /build/assets/ItemComponent-C5fbfu7N.css ............................................. ~ 0.16ms
  2026-05-15 03:02:08 /build/assets/HomeComponent-wZ1ohavz.js .............................................. ~ 1.90ms
  2026-05-15 03:02:08 /build/assets/CategoryComponent-Dv3ROI8j.js .......................................... ~ 3.35ms
  2026-05-15 03:02:08 /build/assets/swiper-vue-0PfWYbtH.js ................................................. ~ 4.59ms
