
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-13 14:09:00 / .................................................................................. ~ 501.29ms
  2026-05-13 14:09:01 /install ............................................................................. ~ 0.71ms
  2026-05-13 14:09:07 / .................................................................................. ~ 501.98ms
  2026-05-13 14:09:07 /install ............................................................................. ~ 0.63ms
  2026-05-13 14:09:13 / .................................................................................. ~ 513.30ms
  2026-05-13 14:09:13 /install ........................................................................... ~ 517.65ms
  2026-05-13 14:09:14 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.24ms
  2026-05-13 14:09:14 /themes/default/fonts/typography/public/public.css ................................... ~ 0.29ms
  2026-05-13 14:09:14 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 0.22ms
  2026-05-13 14:09:14 /themes/default/css/style.css ........................................................ ~ 0.24ms
  2026-05-13 14:09:14 /themes/default/css/custom.css ....................................................... ~ 2.77ms
  2026-05-13 14:09:14 /themes/default/js/customScript.js ................................................... ~ 4.95ms
  2026-05-13 14:09:14 /themes/default/js/installer.js ...................................................... ~ 6.88ms
  2026-05-13 14:09:14 /themes/default/images/bg/installer.jpg .............................................. ~ 0.24ms
  2026-05-13 14:09:14 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.19ms
  2026-05-13 14:09:14 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 1.24ms
  2026-05-13 14:09:14 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 3.04ms
  2026-05-13 14:09:14 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 4.59ms
  2026-05-13 14:09:14 /favicon.ico ......................................................................... ~ 0.18ms
  2026-05-13 14:09:16 /install/requirement ............................................................... ~ 515.24ms
  2026-05-13 14:09:16 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 3.20ms
  2026-05-13 14:09:17 /themes/default/fonts/typography/public/public.css ................................... ~ 1.74ms
  2026-05-13 14:09:17 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 3.82ms
  2026-05-13 14:09:17 /themes/default/css/custom.css ....................................................... ~ 3.70ms
  2026-05-13 14:09:17 /themes/default/js/customScript.js ................................................... ~ 5.71ms
  2026-05-13 14:09:17 /themes/default/css/style.css ........................................................ ~ 9.08ms
  2026-05-13 14:09:17 /themes/default/js/installer.js ...................................................... ~ 9.84ms
  2026-05-13 14:09:17 /themes/default/images/bg/installer.jpg .............................................. ~ 0.21ms
  2026-05-13 14:09:17 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.24ms
  2026-05-13 14:09:17 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 1.59ms
  2026-05-13 14:09:17 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 3.39ms
  2026-05-13 14:09:17 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 3.51ms
  2026-05-13 14:09:17 /favicon.ico ......................................................................... ~ 0.19ms
  2026-05-13 14:09:18 /install/permission ................................................................ ~ 501.66ms
  2026-05-13 14:09:18 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.24ms
  2026-05-13 14:09:18 /themes/default/fonts/typography/public/public.css ................................... ~ 1.63ms
  2026-05-13 14:09:18 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 3.02ms
  2026-05-13 14:09:18 /themes/default/css/style.css ........................................................ ~ 5.15ms
  2026-05-13 14:09:18 /themes/default/css/custom.css ....................................................... ~ 5.83ms
  2026-05-13 14:09:18 /themes/default/js/customScript.js ................................................... ~ 7.89ms
  2026-05-13 14:09:18 /themes/default/js/installer.js ...................................................... ~ 8.25ms
  2026-05-13 14:09:18 /themes/default/images/bg/installer.jpg .............................................. ~ 0.14ms
  2026-05-13 14:09:18 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.19ms
  2026-05-13 14:09:18 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 0.18ms
  2026-05-13 14:09:18 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 0.27ms
